track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
3RWbsf0z7p1aqRRjXcxnDZ,0.575,0.805,0,-6.763,1,0.0556,0.508,0,0.49,0.929,160.003,213282,4
7B0M1TwwKTb4AldiTOpF0S,0.565,0.675,7,-6.763,1,0.0392,0.791,0,0.94,0.62,143.939,237320,4
17vxFrCOINqlFGsoNsaxp6,0.609,0.679,5,-7.254,0,0.032,0.624,0,0.348,0.714,139.883,212542,4
2GBwxkBpmhs9UoDxsBeP4a,0.676,0.538,11,-7.089,0,0.0462,0.374,0,0.111,0.549,145.959,265753,4
1isFUjTray08USSUwd5pTh,0.639,0.637,2,-7.67,1,0.0746,0.366,0,0.108,0.688,146.992,213997,4
4nsjsaov1d0LvyOVPCaXRf,0.562,0.523,4,-6.709,0,0.0383,0.361,8.74e-6,0.207,0.527,83.939,191479,4
3lIuIcigjcZnQipCpaI6fh,0.614,0.219,2,-16.57,1,0.0362,0.455,0,0.344,0.391,133.879,227415,4
10zTAGspuvyXqOyQcPDk3M,0.649,0.475,5,-7.312,0,0.0312,0.558,0,0.108,0.409,114.995,185989,4
5d1Eidz7m4vdgHsfZRKcec,0.726,0.443,11,-6.985,1,0.0454,0.387,0,0.0735,0.261,123.869,182416,4
2Scm4PH6U0yZcCCIqaVGZN,0.61,0.644,5,-8.327,1,0.256,0.319,0,0.128,0.525,75.751,181964,4
1jAvx81CvDBGsvIuyHByPx,0.68,0.736,9,-7.947,1,0.079,0.189,0,0.431,0.812,74.987,168128,4
4Q1amxP3JSTJemNm6vZE0G,0.724,0.589,11,-11.596,1,0.0963,0.16,0,0.0744,0.734,106.993,260420,4
40ejYprsOG1G7RwuOcRyxo,0.323,0.655,0,-7.412,1,0.0375,0.676,0,0.767,0.657,164.77,268240,4
3LDKVSn04AFmRNd9BWaCvO,0.541,0.866,0,-6.088,1,0.0501,0.649,0,0.893,0.748,97.958,214280,4
4iAs2QORspxnjOocbxJ25X,0.601,0.585,6,-8.108,0,0.0677,0.557,0,0.613,0.761,100.143,227680,4
4u1MSjULnQ95O8w3cJTOzl,0.509,0.75,2,-7.273,1,0.037,0.692,4.63e-6,0.798,0.816,93.948,248173,4
52NFgCjGw7oZKIBABYKLPG,0.605,0.542,0,-7.849,1,0.038,0.68,0,0.141,0.633,147.955,292907,4
0ja80k9GL9aR5IZ79tQHVX,0.502,0.49,9,-9.99,1,0.068,0.641,5.66e-5,0.76,0.708,153.848,274320,4
0rUFpKZFlF6bCv1P4pfzxp,0.507,0.703,0,-5.815,1,0.0362,0.722,0,0.692,0.804,150.784,200093,4
56lCrwRRldKHISU3AVujot,0.515,0.773,2,-8.176,1,0.0475,0.503,1.4e-6,0.892,0.649,158.708,274693,4
4Bd8jSFBXHC1K7JAKW9Ojm,0.489,0.475,7,-9.565,1,0.0343,0.724,0,0.505,0.307,139.213,242733,3
